開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2016-10-09,2016-12-11,放送,RKB毎日放送,,日曜 2:40 - 3:10（土曜深夜）,2016年10月9日 - 12月11日,福岡県,字幕放送
2016-10-12,2016-12-14,放送,東北放送,,水曜 2:05 - 2:35（火曜深夜）,2016年10月12日 - 12月14日,宮城県,
2016-10-15,2016-12-17,放送,テレビユー福島,,土曜 17:00 - 17:30,2016年10月15日 - 12月17日,福島県,
2016-10-19,2016-12-21,放送,静岡放送,,水曜 2:26 - 2:56（火曜深夜）,2016年10月19日 - 12月21日,静岡県,
2016-10-21,2016-12-23,放送,あいテレビ,,金曜 1:50 - 2:20（木曜深夜）,2016年10月21日 - 12月23日,愛媛県,
2016-10-28,2016-12-30,放送,IBC岩手放送,,金曜 1:28 - 1:58 （木曜深夜）,2016年10月28日 - 12月30日,岩手県,
2016-10-09,,配信,,ニコニコチャンネル,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,Amazon Prime Video,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,ひかりTV,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,楽天ショウタイム,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,GYAO!,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,ビデックスJP,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,ビデオマーケット,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,dアニメストア,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,U-NEXT,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,アニメ放題,日曜 12:00 更新,2016年10月9日,,
2016-10-09,,配信,,MBSオンデマンド,日曜 12:00 更新,2016年10月9日,,
2016-10-10,,配信,,J:COMオンデマンド,月曜 0:00 更新,2016年10月10日,,
2016-10-10,,配信,,バンダイチャンネル,月曜 12:00 更新,2016年10月10日,,
2016-10-11,,配信,,DMM.com,火曜 10:00 更新,2016年10月11日,,
2016-10-11,,配信,,アクトビラ,火曜 12:00 更新,2016年10月11日,,
2016-10-12,,配信,,PlayStation Video,水曜 0:00 更新,2016年10月12日,,
2016-10-12,,配信,,ムービーフルPlus,水曜 12:00 更新,2016年10月12日,,
2015-10-14,,配信,,TSUTAYA TV,金曜 0:00 更新,2015年10月14日,,
2015-10-14,,配信,,HAPPY!動画,金曜 12:00 更新,2015年10月14日,,
2016-10-16,,配信,,GYAO!ストア,日曜 12:00 更新,2016年10月16日,,
2020-01-11,2020-04-04,放送,毎日放送（製作参加）をはじめとするTBS系列全28局,,土曜 1:25 - 1:55（金曜深夜）,2020年1月11日 - 4月4日,日本国内[注 7],字幕放送 / 連動データ放送 / 『スーパーアニメイズム』枠
2020-01-12,,配信,,dTV,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,dアニメストア,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,FOD,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,J:COMオンデマンド,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,milplus,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,Netflix,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,U-NEXT,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,アニメ放題,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ひかりTV,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ビデオパス,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,GYAO!,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,MBS動画イズム,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,TVer,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,Amazon Prime Video,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,DMM.com,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,Google Play,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,GYAO!ストア,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,Rakuten TV,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,TSUTAYA TV,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ビデックスJP,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,アクトビラ,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ゲオTV,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ビデオマーケット,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,HAPPY!動画,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ニコニコチャンネル,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,バンダイチャンネル,日曜 12:00 更新,2020年1月12日,,
2020-01-12,,配信,,ムービーフルPlus,日曜 12:00 更新,2020年1月12日,,
2020-10-03,2020-12-19,放送,毎日放送,,土曜 2:25 - 2:55（金曜深夜）,2020年10月3日 - 12月19日,近畿広域圏,製作参加 / 字幕放送
2020-10-03,2020-12-19,放送,TBSテレビ,,土曜 2:25 - 2:55（金曜深夜）,2020年10月3日 - 12月19日,関東広域圏,字幕放送
2020-10-03,2020-12-19,放送,BS-TBS,,土曜 3:00 - 3:30（金曜深夜）,2020年10月3日 - 12月19日,日本全域,BS放送
2020-10-07,2020-12-23,放送,東北放送,,水曜 1:00 - 1:30（火曜深夜）,2020年10月7日 - 12月23日,宮城県,『寝られなアニメ』枠
2020-10-14,2020-12-30,放送,IBC岩手放送,,水曜 1:28 - 1:58（火曜深夜）,2020年10月14日 - 12月30日,岩手県,
2020-11-10,2021-02-02,放送,アニマックス,,火曜 19:00 - 19:30,2020年11月10日 - 2021年2月2日,日本全域,BS/CS放送 / 字幕放送 / リピート放送あり[111]
2020-11-18,2021-02-10,放送,テレビ高知,,水曜 16:20 - 16:50,2020年11月18日 - 2021年2月10日,高知県,
2020-12-03,2021-02-25,放送,中国放送,,木曜 0:55 - 1:25（水曜深夜）,2020年12月3日 - 2021年2月25日,広島県,[112]
