開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2019-01-10,,配信,,Amazon Prime Video,木曜 0:00 更新（1話）金曜（木曜深夜）更新（2話以降）,2019年1月10日,,
2019-01-11,,配信,,FOD,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,GYAO!,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,ニコニコ動画,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,U-NEXT,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,ひかりTV,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,バンダイチャンネル,金曜 12:00 更新,2019年1月11日,,
2019-01-11,,配信,,ビデオマーケット,金曜 12:00 更新,2019年1月11日,,
2019-01-16,,配信,,PlayStation Store,水曜 12:00 更新,2019年1月16日,,
2021-01-08,2021-03-26,放送,フジテレビ,,金曜 1:25 - 1:55（木曜深夜）,2021年1月8日 - 3月26日,関東広域圏,
2021-01-08,2021-03-26,放送,岩手めんこいテレビ,,金曜 1:25 - 1:55（木曜深夜）,2021年1月8日 - 3月26日,岩手県,
2021-01-08,2021-03-26,放送,さくらんぼテレビ,,金曜 1:25 - 1:55（木曜深夜）,2021年1月8日 - 3月26日,山形県,
2021-01-08,2021-03-26,放送,福島テレビ,,金曜 1:25 - 1:55（木曜深夜）,2021年1月8日 - 3月26日,福島県,
2021-01-08,2021-03-26,放送,サガテレビ,,金曜 1:25 - 1:55（木曜深夜）,2021年1月8日 - 3月26日,佐賀県,
2021-01-08,2021-03-26,放送,テレビ愛媛,,金曜 1:40 - 2:10（木曜深夜）,2021年1月8日 - 3月26日,愛媛県,
2021-01-08,2021-03-26,放送,秋田テレビ,,金曜 1:50 - 2:20（木曜深夜）,2021年1月8日 - 3月26日,秋田県,
2021-01-08,2021-03-26,放送,テレビ静岡,,金曜 2:00 - 2:30（木曜深夜）,2021年1月8日 - 3月26日,静岡県,
2021-01-08,2021-03-26,放送,NST新潟総合テレビ,,金曜 2:15 - 2:45（木曜深夜）,2021年1月8日 - 3月26日,新潟県,
2021-01-08,2021-03-26,放送,テレビ熊本,,金曜 2:15 - 2:45（木曜深夜）,2021年1月8日 - 3月26日,熊本県,
2021-01-08,2021-03-26,放送,仙台放送,,金曜 2:25 - 2:55（木曜深夜）,2021年1月8日 - 3月26日,宮城県,
2021-01-08,2021-03-26,放送,テレビ西日本,,金曜 2:25 - 2:55（木曜深夜）,2021年1月8日 - 3月26日,福岡県,
2021-01-08,2021-03-26,放送,テレビ新広島,,金曜 2:30 - 3:00（木曜深夜）,2021年1月8日 - 3月26日,広島県,
2021-01-08,2021-03-26,放送,鹿児島テレビ,,金曜 2:30 - 3:00（木曜深夜）,2021年1月8日 - 3月26日,鹿児島県,
2021-01-08,2021-03-26,放送,東海テレビ,,金曜 2:47 - 3:17（木曜深夜）,2021年1月8日 - 3月26日,中京広域圏,
2021-01-08,2021-03-26,放送,関西テレビ,,金曜 2:55 - 3:25（木曜深夜）,2021年1月8日 - 3月26日,近畿広域圏,
2021-01-11,2021-03-29,放送,長野放送,,月曜 1:25 - 1:55（日曜深夜）,2021年1月11日 - 3月29日,長野県,
2021-01-14,2021-04-01,放送,BSフジ,,木曜 0:30 - 1:00（水曜深夜）,2021年1月14日 - 4月1日,日本全域,BS/BS4K放送 / 『アニメギルド』枠
2021-01-15,2021-04-02,放送,高知さんさんテレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月15日 - 4月2日,高知県,
2021-01-19,2021-04-06,放送,山陰中央テレビ,,火曜 1:25 - 1:55（月曜深夜）,2021年1月19日 - 4月6日,鳥取県・島根県,
