id,rows_count,user_mean
2022-11-595,21,729.5714285714286
2020-01-10,21,428.25
2020-01-15,21,266.3333333333333
2022-04-468,21,219.0
2020-01-32,21,214.25
2022-04-469,21,204.58333333333331
2021-01-224,21,193.5
2020-04-68,21,162.2264150943396
2020-04-47,21,128.5
2020-04-64,21,118.91666666666669
2021-10-389,21,118.25
2022-04-455,21,115.92307692307692
2022-07-501,21,112.46153846153848
2020-04-80,21,107.32
2022-04-489,21,101.0
2022-01-434,21,83.25
2022-04-464,21,78.83333333333333
2022-01-415,21,75.5
2020-10-154,21,75.0
2020-01-42,21,73.66666666666667
2020-04-67,21,72.86538461538461
2020-10-165,21,71.75
2021-07-321,21,71.08333333333333
2021-07-340,21,60.1
2020-07-124,21,24.83333333333333
2020-04-97,21,4.275862068965517
2021-10-350,20,378.75
