id,rows_count,user_mean
2022-01-439,3,67.58333333333333
2021-10-367,3,66.84615384615384
2023-01-617,3,62.833333333333336
2023-01-619,3,62.23076923076923
2020-01-5,3,61.75
2023-01-634,3,61.5
2020-07-113,3,57.16666666666666
2021-10-366,3,56.15384615384615
2022-10-575,3,56.0
2020-07-127,3,48.66666666666666
2022-04-462,3,48.22222222222222
2022-07-506,3,45.25
2023-01-615,3,41.41666666666666
2023-01-601,3,40.69230769230769
2023-01-629,3,37.66666666666666
2023-01-644,3,36.083333333333336
2023-01-623,3,35.76923076923077
2023-01-626,3,35.583333333333336
2022-01-422,3,31.83333333333333
2020-01-39,3,26.33333333333333
2020-07-124,3,24.83333333333333
2022-10-584,3,18.75
2022-01-426,3,17.583333333333332
2022-07-533,3,12.666666666666666
2022-01-440,3,8.838709677419354
2021-01-225,3,1.0
2023-01-609,2,673.75
2021-10-393,2,533.92
2020-07-122,2,420.9166666666667
2022-04-495,2,192.16666666666663
2020-04-81,2,161.2941176470588
2022-04-459,2,153.41666666666666
2021-01-210,2,150.16666666666666
2022-10-546,2,150.0
2020-10-174,2,103.36363636363636
2021-10-394,2,100.25
2022-07-531,2,91.5
2020-01-28,2,87.41666666666667
2020-10-150,2,87.0
2020-10-166,2,78.46153846153847
2021-01-193,2,58.833333333333336
2020-07-108,2,52.0
2020-04-91,2,46.04
2021-07-324,2,43.85714285714285
2022-04-450,2,42.67307692307692
2020-10-162,2,39.16666666666666
2022-07-537,2,21.666666666666668
2021-02-244,2,21.5
2020-01-12,2,19.33333333333333
2020-04-83,2,15.833333333333334
2020-10-180,2,11.0
2020-10-157,2,10.75
2021-01-211,2,9.833333333333334
2022-04-485,2,1.1
2020-04-59,2,0.1538461538461538
2020-01-7,1,647.75
2020-01-26,1,346.5833333333333
2021-02-241,1,266.375
2020-04-92,1,202.75
2022-04-488,1,173.80769230769232
2020-01-31,1,66.3076923076923
2022-10-577,1,62.5
2022-10-580,1,25.44
2020-04-69,1,22.0
2020-07-115,1,20.384615384615383
2020-01-9,1,18.875
2020-01-21,1,17.136363636363637
2022-10-554,1,14.576923076923077
2022-04-467,1,12.32
2020-10-182,1,12.153846153846152
2023-01-639,1,10.7
2020-10-161,1,5.846153846153846
2020-04-97,1,4.275862068965517
2021-01-201,1,3.1666666666666665
2020-07-100,1,2.925925925925926
2021-12-402,0,174.0
2021-01-199,0,107.0
2020-10-169,0,0.25
