開始日-終了日,作品名,制作会社,主放送局・系列,話数,放送期間,リンク
1月9日 - 3月26日,空挺ドラゴンズ,ポリゴン・ピクチュアズ,CX,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%A9%BA%E6%8C%BA%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA
1月9日 - 6月25日,プランダラ,GEEKTOYS,TOKYO MX、AT-Xほか,全24話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%83%B3%E3%83%80%E3%83%A9
1月9日 - 3月26日,ネコぱら,FelixFilm,AT-X、TOKYO MX、BS11,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%8D%E3%82%B3%E3%81%B1%E3%82%89
1月9日 - 3月26日,SHOW BY ROCK!!ましゅまいれっしゅ!!,キネマシトラス,TOKYO MX、AT-Xほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/SHOW_BY_ROCK!!
1月9日 - 6月4日,はてな☆イリュージョン,Children's Playground Entertainment,BS日テレ、MBS、TOKYO MX,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%A6%E3%81%AA%E2%98%86%E3%82%A4%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3
1月9日 - 3月26日,宝石商リチャード氏の謎鑑定,朱夏,AT-X、TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%AE%9D%E7%9F%B3%E5%95%86%E3%83%AA%E3%83%81%E3%83%A3%E3%83%BC%E3%83%89%E6%B0%8F%E3%81%AE%E8%AC%8E%E9%91%91%E5%AE%9A
1月9日 - 4月16日,インフィニット・デンドログラム,NAZ,AT-X、TOKYO MXほか,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%EF%BC%9CInfinite_Dendrogram%EF%BC%9E-%E3%82%A4%E3%83%B3%E3%83%95%E3%82%A3%E3%83%8B%E3%83%83%E3%83%88%E3%83%BB%E3%83%87%E3%83%B3%E3%83%89%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0-
1月10日 - 3月20日,うちタマ?! 〜うちのタマ知りませんか?〜,MAPPA、ラパントラック,CX,全11話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%A1%E3%82%BF%E3%83%9E%3F!_%E3%80%9C%E3%81%86%E3%81%A1%E3%81%AE%E3%82%BF%E3%83%9E%E7%9F%A5%E3%82%8A%E3%81%BE%E3%81%9B%E3%82%93%E3%81%8B%3F%E3%80%9C
1月10日 - 3月27日,地縛少年花子くん,Lerche,TBS,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%9C%B0%E7%B8%9B%E5%B0%91%E5%B9%B4%E8%8A%B1%E5%AD%90%E3%81%8F%E3%82%93
1月10日 - 3月27日,推しが武道館いってくれたら死ぬ,エイトビット,TBS,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%8E%A8%E3%81%97%E3%81%8C%E6%AD%A6%E9%81%93%E9%A4%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%9F%E3%82%89%E6%AD%BB%E3%81%AC
1月10日 - 9月25日,とある科学の超電磁砲T,J.C.STAFF,AT-X、TOKYO MXほか,全25話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%A8%E3%81%82%E3%82%8B%E7%A7%91%E5%AD%A6%E3%81%AE%E8%B6%85%E9%9B%BB%E7%A3%81%E7%A0%B2T
1月10日 - 3月27日,ソマリと森の神様,サテライト、HORNETS,TOKYO MX、BS日テレ,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%BD%E3%83%9E%E3%83%AA%E3%81%A8%E6%A3%AE%E3%81%AE%E7%A5%9E%E6%A7%98
1月11日 - 3月28日,織田シナモン信長,スタジオ サインポスト,TX、AT-Xほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%B9%94%E7%94%B0%E3%82%B7%E3%83%8A%E3%83%A2%E3%83%B3%E4%BF%A1%E9%95%B7
1月11日 - 3月28日,理系が恋に落ちたので証明してみた。,ゼロジー,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%90%86%E7%B3%BB%E3%81%8C%E6%81%8B%E3%81%AB%E8%90%BD%E3%81%A1%E3%81%9F%E3%81%AE%E3%81%A7%E8%A8%BC%E6%98%8E%E3%81%97%E3%81%A6%E3%81%BF%E3%81%9F%E3%80%82
1月11日 - 4月4日,ハイキュー!! TO THE TOP（第1クール）,Production I.G,MBS,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%8F%E3%82%A4%E3%82%AD%E3%83%A5%E3%83%BC!!
1月11日 - 3月28日,ランウェイで笑って,Ezo'la,MBS,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%B3%E3%82%A6%E3%82%A7%E3%82%A4%E3%81%A7%E7%AC%91%E3%81%A3%E3%81%A6
1月11日 - 6月20日,ケンガンアシュラ,LARX ENTERTAINMENT,TOKYO MXほか,全24話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%B3%E3%82%AC%E3%83%B3%E3%82%A2%E3%82%B7%E3%83%A5%E3%83%A9
1月11日 - 3月28日,ぼくのとなりに暗黒破壊神がいます。,EMTスクエアード,AT-X、TOKYO MX、SUN、BSフジ,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%BC%E3%81%8F%E3%81%AE%E3%81%A8%E3%81%AA%E3%82%8A%E3%81%AB%E6%9A%97%E9%BB%92%E7%A0%B4%E5%A3%8A%E7%A5%9E%E3%81%8C%E3%81%84%E3%81%BE%E3%81%99%E3%80%82
1月11日 - 3月28日,異種族レビュアーズ,パッショーネ,AT-Xほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%95%B0%E7%A8%AE%E6%97%8F%E3%83%AC%E3%83%93%E3%83%A5%E3%82%A2%E3%83%BC%E3%82%BA
1月11日 - 3月28日,22/7,A-1 Pictures,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/22/7_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月12日 - 3月29日,虚構推理,ブレインズ・ベース,EX、AT-Xほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%99%9A%E6%A7%8B%E6%8E%A8%E7%90%86
1月13日 - 3月30日,ドロヘドロ,MAPPA,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AD%E3%83%98%E3%83%89%E3%83%AD
1月13日 - 3月30日,ARP Backstage Pass,ダイナモピクチャーズ,TOKYO MX、BS11、J:COM,全10話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/AR_performers
1月14日 - 3月31日,7SEEDS（第1期）,GONZO,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/7SEEDS
1月14日 - 6月23日,A3! SEASON SPRING & SUMMER,P.A.WORKS、Studio 3Hz,TOKYO MXほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/A3!
1月15日 - 4月1日,異世界かるてっと2,スタジオぷYUKAI,TOKYO MX、AT-Xほか,全12話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%95%B0%E4%B8%96%E7%95%8C%E3%81%8B%E3%82%8B%E3%81%A6%E3%81%A3%E3%81%A8
1月23日 - 4月23日,BanG Dream! 3rd Season,サンジゲン,TOKYO MX、AT-Xほか,全13話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/BanG_Dream!_(%E3%82%A2%E3%83%8B%E3%83%A1)
2月2日 - 2021年2月21日,ヒーリングっど♥プリキュア,東映アニメーション,ABC,全45話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%81%A3%E3%81%A9%E2%99%A5%E3%83%97%E3%83%AA%E3%82%AD%E3%83%A5%E3%82%A2
3月2日 - 3月6日,大家さんと僕（第1期）,ファンワークス,NHK総合,全5話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%AE%B6%E3%81%95%E3%82%93%E3%81%A8%E5%83%95
3月28日 - 4月4日,ロノー先生の悪魔な神授業,Lay-duce,MBS,全3話,2020年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%8E%E3%83%BC%E5%85%88%E7%94%9F%E3%81%AE%E6%82%AA%E9%AD%94%E3%81%AA%E7%A5%9E%E6%8E%88%E6%A5%AD
4月1日 - 6月17日,球詠,studio A-CAT,AT-X、TOKYO MX、NBNほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%90%83%E8%A9%A0
4月2日 - 2022年3月24日,のりものまん モービルランドのカークン,CloverWorks,NHK Eテレ,全104話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%AE%E3%82%8A%E3%82%82%E3%81%AE%E3%81%BE%E3%82%93_%E3%83%A2%E3%83%BC%E3%83%93%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%82%AB%E3%83%BC%E3%82%AF%E3%83%B3
4月2日 - 6月18日,かくしごと,亜細亜堂,BS日テレ、AT-X、TOKYO MX、SUN,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%8F%E3%81%97%E3%81%94%E3%81%A8
4月2日 - 6月25日,神之塔 -Tower of God-,テレコム・アニメーションフィルム,TOKYO MX、BS11ほか,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%A5%9E%E4%B9%8B%E5%A1%94
4月2日 - 6月18日,八男って、それはないでしょう!,シンエイ動画,AT-X、TOKYO MX、BS11、J:COM,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E5%85%AB%E7%94%B7%E3%81%A3%E3%81%A6%E3%80%81%E3%81%9D%E3%82%8C%E3%81%AF%E3%81%AA%E3%81%84%E3%81%A7%E3%81%97%E3%82%87%E3%81%86!
4月3日 - 6月19日,新サクラ大戦 the Animation,サンジゲン,TOKYO MX、BS11ほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%96%B0%E3%82%B5%E3%82%AF%E3%83%A9%E5%A4%A7%E6%88%A6
4月4日 - 6月20日,LISTENERS リスナーズ,MAPPA,MBS,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/LISTENERS_%E3%83%AA%E3%82%B9%E3%83%8A%E3%83%BC%E3%82%BA
4月4日 - 6月20日,波よ聞いてくれ,サンライズ,MBS,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%B3%A2%E3%82%88%E8%81%9E%E3%81%84%E3%81%A6%E3%81%8F%E3%82%8C
4月4日 - 8月8日,文豪とアルケミスト 〜審判ノ歯車〜,OLM,TX,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%96%87%E8%B1%AA%E3%81%A8%E3%82%A2%E3%83%AB%E3%82%B1%E3%83%9F%E3%82%B9%E3%83%88
4月4日 - 6月20日,アルテ,Seven Arcs,TOKYO MX、BSフジほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%86_(%E6%BC%AB%E7%94%BB)
4月4日 - 2022年3月27日,遊☆戯☆王SEVENS,ブリッジ,TX,全92話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E9%81%8A%E2%98%86%E6%88%AF%E2%98%86%E7%8E%8BSEVENS
4月4日 - 6月27日,おしりたんてい（第4期）,東映アニメーション,NHK Eテレ,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%97%E3%82%8A%E3%81%9F%E3%82%93%E3%81%A6%E3%81%84
4月4日 - 6月27日,アサティール 未来の昔ばなし,東映アニメーション,J：COM,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%B5%E3%83%86%E3%82%A3%E3%83%BC%E3%83%AB_%E6%9C%AA%E6%9D%A5%E3%81%AE%E6%98%94%E3%81%B0%E3%81%AA%E3%81%97
4月4日 - 11月7日,メジャーセカンド（第2期）,OLM,NHK Eテレ,全25話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/MAJOR_2nd
4月5日 - 6月21日,イエスタデイをうたって,動画工房,EX,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%A8%E3%82%B9%E3%82%BF%E3%83%87%E3%82%A4%E3%82%92%E3%81%86%E3%81%9F%E3%81%A3%E3%81%A6
4月5日 - 12月20日,ギャルと恐竜（実写+アニメ）,スペースネコカンパニー、神風動画,TOKYO MX、BS11、ANIMAXほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%AE%E3%83%A3%E3%83%AB%E3%81%A8%E6%81%90%E7%AB%9C
4月5日 - 6月21日,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,SILVER LINK.,TOKYO MX、BS11、MBSほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E4%B9%99%E5%A5%B3%E3%82%B2%E3%83%BC%E3%83%A0%E3%81%AE%E7%A0%B4%E6%BB%85%E3%83%95%E3%83%A9%E3%82%B0%E3%81%97%E3%81%8B%E3%81%AA%E3%81%84%E6%82%AA%E5%BD%B9%E4%BB%A4%E5%AC%A2%E3%81%AB%E8%BB%A2%E7%94%9F%E3%81%97%E3%81%A6%E3%81%97%E3%81%BE%E3%81%A3%E3%81%9F%E2%80%A6
4月5日 - 6月21日,本好きの下剋上 〜司書になるためには手段を選んでいられません〜（第2期）,亜細亜堂,ABC、WOWOWプライム、BSフジほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%9C%AC%E5%A5%BD%E3%81%8D%E3%81%AE%E4%B8%8B%E5%89%8B%E4%B8%8A
4月5日 - 2021年3月28日,デュエル・マスターズ キング,ブレインズ・ベース、小学館ミュージック&デジタル エンタテイメント,TX,全47話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%BB%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%82%A2%E3%83%8B%E3%83%A1)
4月5日 - 2021年9月26日,デジモンアドベンチャー:,東映アニメーション,CX,全67話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%B8%E3%83%A2%E3%83%B3%E3%82%A2%E3%83%89%E3%83%99%E3%83%B3%E3%83%81%E3%83%A3%E3%83%BC:
4月5日 - 2021年3月28日,トミカ絆合体 アースグランナー,OLM TEAM INOUE,TVO,全51話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%9F%E3%82%AB%E7%B5%86%E5%90%88%E4%BD%93_%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%8A%E3%83%BC
4月5日 - 2021年4月4日,ミュークルドリーミー,J.C.STAFF,TX,全48話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%AF%E3%83%AB%E3%83%89%E3%83%AA%E3%83%BC%E3%83%9F%E3%83%BC
4月5日 - 11月8日,もっと!まじめにふまじめ かいけつゾロリ,BN Pictures、亜細亜堂,NHK Eテレ,全25話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%82%E3%81%A3%E3%81%A8!%E3%81%BE%E3%81%98%E3%82%81%E3%81%AB%E3%81%B5%E3%81%BE%E3%81%98%E3%82%81_%E3%81%8B%E3%81%84%E3%81%91%E3%81%A4%E3%82%BE%E3%83%AD%E3%83%AA
4月5日 - 12月27日,アイドリッシュセブン Second BEAT!,TROYCA,TOKYO MX、BS11ほか,全15話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%82%BB%E3%83%96%E3%83%B3
4月5日 - 6月28日,グレイプニル,PINE JAM,TOKYO MX、AT-X、BS11ほか,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%82%A4%E3%83%97%E3%83%8B%E3%83%AB_(%E6%BC%AB%E7%94%BB)
4月5日 - 6月28日,社長、バトルの時間です!,C2C,AT-X、TOKYO MX、BS日テレほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%A4%BE%E9%95%B7%E3%80%81%E3%83%90%E3%83%88%E3%83%AB%E3%81%AE%E6%99%82%E9%96%93%E3%81%A7%E3%81%99!
4月5日 - 6月21日,継つぐもも,ゼロジー,AT-X、TOKYO MX、BSフジ、CTV,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%81%A4%E3%81%90%E3%82%82%E3%82%82
4月6日 - 2021年10月18日,キングダム（第3期）,ぴえろ、スタジオ サインポスト,NHK総合,全26話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%80%E3%83%A0_(%E3%82%A2%E3%83%8B%E3%83%A1)
4月6日 - 5月25日,俺の指で乱れろ。〜閉店後二人きりのサロンで…〜,マジックバス,TOKYO MX,全8話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E4%BF%BA%E3%81%AE%E6%8C%87%E3%81%A7%E4%B9%B1%E3%82%8C%E3%82%8D%E3%80%82%E3%80%9C%E9%96%89%E5%BA%97%E5%BE%8C%E3%81%AE%E3%82%B5%E3%83%AD%E3%83%B3%E3%80%81%E6%84%8F%E5%9C%B0%E6%82%AA%E3%81%AB%E7%84%A6%E3%82%89%E3%81%95%E3%82%8C%E3%81%A6
4月6日 - 2021年3月29日,ガル学。～聖ガールズスクエア学院～,OLM Team KATO、WIT STUDIO,TX,全50話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/Girls2
4月6日 - 6月22日,白猫プロジェクト ZERO CHRONICLE,project No.9,AT-X、TOKYO MXほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%99%BD%E7%8C%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88
4月6日 - 2021年3月15日,ぽっこりーず,勝鬨スタジオ,BS日テレ,全50話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/w/index.php?title=%E3%81%BD%E3%81%A3%E3%81%93%E3%82%8A%E3%83%BC%E3%81%9A&action=edit&redlink=1
4月6日 - 6月22日,邪神ちゃんドロップキック',ノーマッド,TOKYO MX、BSフジ、UHBほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E9%82%AA%E7%A5%9E%E3%81%A1%E3%82%83%E3%82%93%E3%83%89%E3%83%AD%E3%83%83%E3%83%97%E3%82%AD%E3%83%83%E3%82%AF
4月7日 - 6月30日,プリンセスコネクト! Re:Dive,CygamesPictures,TOKYO MX、BS11、WOWOWプライムほか,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88!
4月6日 - 12月28日,あの世のすべては、おばけぐみっ!,ステラプロモーション,CTV,全39話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/w/index.php?title=%E3%81%82%E3%81%AE%E4%B8%96%E3%81%AE%E3%81%99%E3%81%B9%E3%81%A6%E3%81%AF%E3%80%81%E3%81%8A%E3%81%B0%E3%81%91%E3%81%90%E3%81%BF%E3%81%A3!&action=edit&redlink=1
4月7日 - 9月22日,放課後ていぼう日誌,動画工房,AT-X、TOKYO MX、BS11ほか,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E6%94%BE%E8%AA%B2%E5%BE%8C%E3%81%A6%E3%81%84%E3%81%BC%E3%81%86%E6%97%A5%E8%AA%8C
4月7日 - 2021年3月23日,シャドウバース,ZEXCS,TX,全48話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/Shadowverse
4月7日 - 9月22日,フルーツバスケット（第2作 2nd season）,トムス・エンタテインメント,TX,全25話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88_(%E6%BC%AB%E7%94%BB)
4月8日 - 9月16日,無限の住人 -IMMORTAL-,ライデンフィルム,TOKYO MX、MBS,全24話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E7%84%A1%E9%99%90%E3%81%AE%E4%BD%8F%E4%BA%BA
4月8日 - 7月1日,困ったじいさん,勝鬨スタジオ,BS日テレ,全13話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/%E5%9B%B0%E3%81%A3%E3%81%9F%E3%81%98%E3%81%84%E3%81%95%E3%82%93
4月9日 - 6月25日,BNA ビー・エヌ・エー,TRIGGER,CX,全12話,2020年 4月 - 6月[編集],https://ja.wikipedia.org/wiki/BNA_%E3%83%93%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%8C%E3%83%BB%E3%82%A8%E3%83%BC
