期間,時間,放送局,"対象地域・備考
[100]",タイプ,配信サイト,開始,終了
2022年4月9日,土曜 23:30 更新,,,配信,バンダイチャンネル,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,ネットもテレ東,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,DMM.com,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Google Play,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,GYAO!ストア,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,HAPPY!動画,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,music.jp,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Rakuten TV,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,ビデックスJP,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,ビデオマーケット,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,ムービーフルPlus,2022-04-09,
2022年4月9日,土曜 23:30 - 日曜 0:00,,,配信,ABEMA[114],2022-04-09,
2022年10月1日 - 12月24日,土曜 23:00 - 23:30,テレビ東京（製作参加）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,,2022-10-01,2022-12-24
2022年10月3日 - 12月26日,月曜 0:35 - 1:05（日曜深夜）,BSテレ東,BS/BS4K放送,放送,,2022-10-03,2022-12-26
2022年10月3日 - 12月26日,月曜 22:00 - 22:30,AT-X,CS放送 / リピート放送あり,放送,,2022-10-03,2022-12-26
2022年10月4日 - 12月27日,火曜 0:25 - 0:55（月曜深夜）,テレビ静岡,静岡県,放送,,2022-10-04,2022-12-27
2022年10月4日 - 12月27日,火曜 1:45 - 2:15（月曜深夜）,新潟テレビ21,新潟県初回（第13話）は2:15 - 2:45に放送,放送,,2022-10-04,2022-12-27
2022年10月5日 - 12月28日,水曜 1:00 - 1:30（火曜深夜）,東北放送,宮城県 / 『寝られなアニメ』枠,放送,,2022-10-05,2022-12-28
2022年10月6日 - 12月29日,木曜 0:58 - 1:28（水曜深夜）,中国放送,広島県初回（第13話）は1:13 - 1:43に放送,放送,,2022-10-06,2022-12-29
2022年10月14日 - 2023年1月6日,金曜 0:05 - 0:35（木曜深夜）,テレビ和歌山,和歌山県,放送,,2022-10-14,2023-01-06
2022年10月14日 - 2023年1月6日,金曜 0:59 - 1:29（木曜深夜）,琉球放送,沖縄県,放送,,2022-10-14,2023-01-06
2022年10月14日 - 2023年1月6日,金曜 1:29 - 1:59（木曜深夜）,くまもと県民テレビ,熊本県,放送,,2022-10-14,2023-01-06
2022年10月16日 - 2023年1月8日,日曜 13:00 - 13:30,長崎放送,長崎県,放送,,2022-10-16,2023-01-08
2022年10月22日 - 2023年1月21日,土曜 1:55 - 2:25（金曜深夜）,IBC岩手放送,岩手県,放送,,2022-10-22,2023-01-21
2022年10月22日 - 2023年1月21日,土曜 1:55 - 2:25（金曜深夜）,テレビユー福島,福島県,放送,,2022-10-22,2023-01-21
2022年10月22日 - 2023年1月21日,土曜 17:00 - 17:30,宮崎放送,宮崎県,放送,,2022-10-22,2023-01-21
2022年10月30日 - 2023年2月5日,日曜 1:15 - 1:45（土曜深夜）,さくらんぼテレビ,山形県,放送,,2022-10-30,2023-02-05
2022年10月30日 - 2023年1月29日,日曜 21:30 - 22:00,岐阜放送,岐阜県,放送,,2022-10-30,2023-01-29
2022年10月31日 - 2023年1月30日,月曜 0:50 - 1:20（日曜深夜）,テレビ山梨,山梨県 / 『にちようスクエア』枠,放送,,2022-10-31,2023-01-30
2022年11月5日 - 2023年2月4日,土曜 20:30 - 21:00,アニマックス,BS/CS放送,放送,,2022-11-05,2023-02-04
2022年11月7日 - 2023年1月30日,月曜 1:30 - 2:00（日曜深夜）,びわ湖放送,滋賀県,放送,,2022-11-07,2023-01-30
2022年11月12日 - 2023年3月11日,土曜 16:00 - 16:30,長野朝日放送,長野県 / [注 12],放送,,2022-11-12,2023-03-11
2022年11月26日 - 2023年2月18日,土曜 1:55 - 2:25（金曜深夜）,山陰放送,鳥取県・島根県 / 『森谷佳奈のアニ物語』枠,放送,,2022-11-26,2023-02-18
2022年12月13日 - 2023年3月14日,火曜 1:25 - 1:55（月曜深夜）,青森テレビ,青森県,放送,,2022-12-13,2023-03-14
2022年10月1日,土曜 23:30 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Amazon Prime Video,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Disney+,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,dTV,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,FOD,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Hulu,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,J:COMオンデマンド,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,milplus,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Netflix,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Paravi,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,TELASA,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,auスマートパスプレミアム,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,U-NEXT,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,アニメカ,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,アニメタイムズ,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,アニメ放題,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,バンダイチャンネル,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,ネットもテレ東,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,ABEMA,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,DMM.com,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Google Play,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,GYAO!ストア,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,HAPPY!動画,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,music.jp,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,Rakuten TV,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,ビデックスJP,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,ビデオマーケット,2022-10-01,
2022年10月1日,土曜 23:30 更新,,,配信,ムービーフルPlus,2022-10-01,
2022年10月1日,土曜 23:30 - 日曜 0:00,,,配信,ABEMA[119],2022-10-01,
