期間,時間,放送局,"対象地域・備考
[48]",タイプ,配信サイト,開始,終了
2023年4月7日 -,金曜 1:44 - 2:14（木曜深夜）,テレビ新潟,新潟県 / 字幕放送[64],放送,,2023-04-07,
2023年4月7日 -,金曜 1:44 - 2:14（木曜深夜）,テレビ信州,長野県 / 字幕放送[65],放送,,2023-04-07,
2023年4月7日 -,金曜 1:54 - 2:24（木曜深夜）,山口放送,山口県,放送,,2023-04-07,
2023年4月8日 -,土曜 0:30 - 1:00（金曜深夜）,福井放送,福井県 / 字幕放送[66],放送,,2023-04-08,
2023年4月8日 -,土曜 1:05 - 1:35（金曜深夜）,読売テレビ,近畿広域圏『金曜日はシンデレラ』枠,放送,,2023-04-08,
2023年4月8日 -,土曜 1:56 - 2:26（金曜深夜）,福島中央テレビ,福島県 / 字幕放送[67],放送,,2023-04-08,
2023年4月8日 -,土曜 1:59 - 2:29（金曜深夜）,ミヤギテレビ,宮城県,放送,,2023-04-08,
2023年4月9日 -,日曜 0:00 - 0:30（土曜深夜）,BS日テレ,BS放送『アニメにむちゅ〜』枠,放送,,2023-04-09,
2023年4月9日 -,日曜 1:10 - 1:40（土曜深夜）,山梨放送,山梨県 / 字幕放送[68],放送,,2023-04-09,
2023年5月15日 -,月曜 19:00 - 19:30,キッズステーション,CS放送,放送,,2023-05-15,
2023年4月2日,日曜 1:30（土曜深夜） 更新,,,配信,Hulu,2023-04-02,
2023年4月2日,日曜 1:30（土曜深夜） 更新,,,配信,DMM TV,2023-04-02,
2023年4月7日,金曜 1:30（木曜深夜） 更新,,,配信,Lemino,2023-04-07,
2023年4月7日,金曜 1:30（木曜深夜） 更新,,,配信,アニメタイムズ,2023-04-07,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,FOD,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,U-NEXT,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,アニメ放題,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,ABEMAビデオ,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,バンダイチャンネル,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,ニコニコチャンネル,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,クランクイン！ビデオ,2023-04-09,
2023年4月9日,日曜 1:30（土曜深夜） 更新,,,配信,Google Play,2023-04-09,
2023年4月9日,日曜 12:00 更新,,,配信,HAPPY！動画,2023-04-09,
2023年4月11日,火曜 12:00 更新,,,配信,ムービーフルPlus,2023-04-11,
