期間,時間,放送局,"対象地域・備考
[140]",タイプ,配信サイト,開始,終了
2022年10月6日,木曜 18:00 更新,,,配信,TVer,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,MBS動画イズム,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,GYAO!,2022-10-06,
2022年10月6日,木曜 18:00 - 18:30,,,配信,ABEMA,2022-10-06,
2022年10月6日,木曜 23:00 - 23:30,,,配信,ニコニコ生放送,2022-10-06,
2022年10月7日,金曜 0:00（木曜深夜） 更新,,,配信,TELASA,2022-10-07,
2022年10月7日,金曜 0:00（木曜深夜） 更新,,,配信,J:COMオンデマンド,2022-10-07,
2022年10月7日,金曜 0:00（木曜深夜） 更新,,,配信,milplus,2022-10-07,
2022年10月7日,金曜 12:00 更新,,,配信,ムービーフルPlus,2022-10-07,
2023年4月9日 -,日曜 17:00 - 17:30,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 8]連動データ放送『日5』枠,放送,,2023-04-09,
2023年4月18日 -,火曜 22:00 - 22:30,AT-X,CS放送リピート放送あり[150],放送,,2023-04-18,
2023年5月6日 -,土曜 19:00 - 19:30,アニマックス,BS/CS放送[150],放送,,2023-05-06,
2023年4月9日,日曜 18:00 更新,,,配信,バンダイチャンネル,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,ガンダムファンクラブ,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,Hulu,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,U-NEXT,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,dアニメストア,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,Disney+,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,DMM TV,2023-04-09,
2023年4月9日,日曜 18:00 更新,,,配信,アニメタイムズ,2023-04-09,
2023年4月13日,木曜 12:00 更新,,,配信,ふらっと動画,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,WOWOWオンデマンド,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,Amazon Prime Video,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,ひかりTV,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,アニメ放題,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,Netflix,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,FOD,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,Lemino,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,Google Play,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,ビデオマーケット,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,music.jp,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,Rakuten TV,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,HAPPY!動画,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,ニコニコチャンネル,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,TVer,2023-04-13,
2023年4月13日,木曜 18:00 更新,,,配信,MBS動画イズム,2023-04-13,
2023年4月13日,木曜 18:00 - 18:30,,,配信,ABEMA,2023-04-13,
2023年4月13日,木曜 22:30 - 23:00,,,配信,ニコニコ生放送,2023-04-13,
2023年4月14日,金曜 0:00（木曜深夜） 更新,,,配信,TELASA,2023-04-14,
2023年4月14日,金曜 0:00（木曜深夜） 更新,,,配信,J:COMオンデマンド,2023-04-14,
2023年4月14日,金曜 0:00（木曜深夜） 更新,,,配信,milplus,2023-04-14,
2023年4月14日,金曜 12:00 更新,,,配信,ムービーフルPlus,2023-04-14,
