期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴デジタルモンスター,表話編歴東映アニメーション,関連項目,企業,表話編歴東映,開始,終了,配信サイト
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"まじかる☆タルるートくん
きんぎょ注意報!
ゲッターロボ號
DRAGON QUEST -ダイの大冒険-
美少女戦士セーラームーンシリーズ
スーパービックリマン
GS美神
SLAM DUNK
蒼き伝説シュート!
ママレード・ボーイ
真拳伝説タイトロード
空想科学世界ガリバーボーイ
世界名作童話シリーズ ワ〜ォ!メルヘン王国
ご近所物語
地獄先生ぬ〜べ〜
花より男子
キューティーハニーF
金田一少年の事件簿シリーズ
あずみマンマ・ミーア
夢のクレヨン王国
ハニ太郎です。
ドクタースランプ
春庭家の3人目
遊☆戯☆王
まもって守護月天!
おジャ魔女どれみシリーズ
神風怪盗ジャンヌ",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"こっちむいてみい子
ふしぎ魔法ファンファンファーマシィー
ヘリタコぷーちゃん",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"アドベンチャー
02
テイマーズ
セイバーズ
フロンティア
X-evolution
クロスウォーズシリーズ
アプリモンスターズ
アドベンチャー:
ゴーストゲーム",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"ONE PIECE
エピソードオブナミ
エピソードオブルフィ
エピソードオブメリー
“3D2Y”
エピソードオブサボ
アドベンチャー オブ ネブランディア
ハートオブゴールド
エピソードオブ東の海
エピソードオブ空島",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"マシュランボー
勝負師伝説 哲也
ピポパポパトルくん
ののちゃん
キン肉マンII世シリーズ
Kanon（第1作）
釣りバカ日誌
明日のナージャ
エアマスター
ボボボーボ・ボーボボ
金色のガッシュベル!!
リングにかけろシリーズ
冒険王ビィトシリーズ
ゼノサーガ THE ANIMATION
ガイキング LEGEND OF DAIKU-MARYU
怪 〜ayakashi〜
エア・ギア
神様家族
貧乏姉妹物語
出ましたっ!パワパフガールズZ
銀色のオリンシス
祝!(ハピ☆ラキ)ビックリマン
ラブ★コン
太極千字文共
モノノ怪
はたらキッズ マイハム組
うちの3姉妹シリーズ
ロボディーズ -RoboDz- 風雲篇
ねぎぼうずのあさたろう
京浜家族
マリー&ガリーシリーズ
怪談レストラン
空中ブランコ",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"ふたりはプリキュアシリーズ
Splash Star
Yes!プリキュア5シリーズ
フレッシュ
ハートキャッチ
スイート
スマイル
ドキドキ
ハピネスチャージ
プリンセス
魔法つかいシリーズ
アラモード
HUGっと!
スター☆トゥインクル
ヒーリングっど
トロピカル〜ジュ!
デリシャスパーティ
ひろがるスカイ!
キボウノチカラ〜オトナプリキュア'23〜共",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"トリコ
聖闘士星矢Ω
探検ドリランド
探検ドリランド -1000年の真宝-
京騒戯画
ロボットガールズZシリーズ
マジンボーン
暴れん坊力士!!松太郎
ディスク・ウォーズ:アベンジャーズ
ミラキュラス レディバグ&シャノワール共
美少女戦士セーラームーンCrystal Season III
タイガーマスクW
ワールドトリガーシリーズ
正解するカド
おしりたんてい
爆釣バーハンター共",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"アサティール 未来の昔ばなし共
ふしぎ駄菓子屋 銭天堂
逃走中 グレートミッション
いきものさん製",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"こねこのらくがき
白蛇伝
たぬきさん大当り",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"西遊記
安寿と厨子王丸
ねずみのよめいり
アラビアンナイト・シンドバッドの冒険
わんぱく王子の大蛇退治
わんわん忠臣蔵
ガリバーの宇宙旅行
サイボーグ009シリーズ
少年ジャックと魔法使い
ひょっこりひょうたん島
アンデルセン物語
太陽の王子 ホルスの大冒険
人のくらしの百万年 マニ・マニ・マーチ
ひみつのアッコちゃんシリーズ
長靴猫シリーズ
ひとりぼっち
空飛ぶゆうれい船
もーれつア太郎シリーズ",,,,2021-10-10,2023-04-02,
